BE127,prioritario,15,pyme,casa-K,2,17-10-2020 03:09:26
BE666,prioritario,8,pyme,casa-A,1,17-10-2020 03:09:26
PF654,prioritario,50,pyme,casa-B,1,17-10-2020 03:09:27
BE785,prioritario,8,pyme,casa-E,1,0
PF225,prioritario,25,pyme,casa-P,1,17-10-2020 03:09:28
PF111,prioritario,10,pyme,casa-N,1,17-10-2020 03:09:28
PF452,prioritario,115,pyme,casa-I,1,17-10-2020 03:09:29
OF352,prioritario,9,pyme,casa-C,1,0
DE786,prioritario,15,pyme,casa-Z,1,17-10-2020 03:09:31
DE654,prioritario,11,pyme,casa-V,2,17-10-2020 03:09:31
BE855,normal,10,pyme,casa-A,2,17-10-2020 03:09:32
GG458,prioritario,3,pyme,casa-C,1,0
PF125,normal,75,pyme,casa-N,1,17-10-2020 03:09:33
BE654,normal,10,pyme,casa-D,1,17-10-2020 03:09:33
PF354,normal,22,pyme,casa-R,1,17-10-2020 03:09:34
PF245,normal,20,pyme,casa-S,1,17-10-2020 03:09:34
PF542,normal,90,pyme,casa-N,1,17-10-2020 03:09:35
OF754,normal,5,pyme,casa-C,1,17-10-2020 03:09:35
DE123,normal,16,pyme,casa-E,1,17-10-2020 03:09:37
OF554,normal,4,pyme,casa-I,1,17-10-2020 03:09:37
CC124,normal,17,pyme,casa-U,1,17-10-2020 03:09:38
CC122,normal,9,pyme,casa-F,1,17-10-2020 03:09:38
CC121,normal,16,pyme,casa-X,1,17-10-2020 03:09:39
CC121,normal,10,pyme,casa-A,1,17-10-2020 03:09:39
CC454,normal,7,pyme,casa-Q,1,17-10-2020 03:09:40
GG257,normal,4,pyme,casa-B,1,17-10-2020 03:09:40
GG568,normal,5,pyme,casa-L,1,17-10-2020 03:09:42
GG124,normal,5,pyme,casa-A,1,17-10-2020 03:09:42
GG301,normal,6,pyme,casa-D,1,17-10-2020 03:09:43
